id;n_variable_index;c_name_variable;c_desc_variable;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_id_id;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
1;1;1;PT-07.I;Каскад 1;Маслосистема;14M1;1.0;5.0;2.0;1.0;5.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;250.0;0.0;250.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;160.0;0.0;;;;;;4.0
2;2;DR.L1.PIT3.H1;LIC-01.I;Каскад 1;ПИД;1PID;1.0;5.0;2.0;1.0;6.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6439.0;90.0;95.0;25.0;5.0;;;;;;15.0
3;3;DR.L1.SD1_MSS_P_Vigr;PT-01.I;Каскад 1;Гидравлическая система;14M1;1.0;5.0;2.0;1.0;7.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;1000.0;0.0;1000.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;138.0;0.0;;;;;;4.0
4;4;DR.L1.K3A.I_Tran;M1.C.I;Каскад 1;ПИД;24PID;1.0;5.0;2.0;1.0;8.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;30.0;0.0;150.0;30.0;150.0;0.0;;;;;;;;;;;;;;;;;6199.0;43.4;76.0;45494;45446;;;;;;15.0
5;5;DR.L1.SD1_MSS_SL_T;TT-02.I;Каскад 1;Маслосистема;14M1;1.0;5.0;2.0;2.0;1.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;-18.0;93.0;0.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;0.0;0.0;;;;;;0.0
6;6;DR.L1.SD1_MSS_T_Rtn;TT-03.I;Каскад 1;Маслосистема;14M1;1.0;5.0;2.0;2.0;3.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;54.0;65.0;18.0;17.0;;;;;;15.0
7;7;DR.L1.SD1_MSS.Tank_T;TT-04.I;Каскад 1;Маслосистема;14M1;1.0;5.0;2.0;2.0;4.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;22.0;0.0;100.0;22.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;25.0;45.0;20.0;15.0;;;;;;15.0
8;8;DR.L1.K3A.H;LIC-03.I;Каскад 1;ПИД;24PID;1.0;5.0;2.0;2.0;7.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;90.0;99.0;30.0;15.0;;;;;;15.0
9;9;DR.L1.K3A_VR_VFD_I;24M1.C.I;Каскад 1;ПИД;24PID;1.0;5.0;2.0;2.0;8.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;112.0;0.0;112.0;0.0;;;;;;;;;;;;;;;;;6183.0;65.0;95.7;0.0;0.0;;;;;;3.0
10;10;DR.L1.PIT3.H2;LIC-02.I;Каскад 1;ПИД;1PID;1.0;5.0;2.0;3.0;1.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;50.0;0.0;100.0;50.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;55.0;70.0;25.0;5.0;;;;;;15.0
11;11;DR.L1.MD1_PDV_T4;TT-05.I;Каскад 1;Подшипника двигателя;M1;1.0;5.0;2.0;3.0;4.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;65.0;70.0;0.0;0.0;;;;;;3.0
12;12;DR.L1.MD1_PDV_VB1;VT-01.I;Каскад 1;Подшипника двигателя;M1;1.0;5.0;2.0;3.0;6.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6183.0;8.0;11.0;4.0;0.0;;;;;;7.0
13;13;DR.L1.MD1_PDV_VB2;VT-02.I;Каскад 1;Подшипника двигателя;M1;1.0;5.0;2.0;3.0;7.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6183.0;8.0;11.0;0.0;0.0;;;;;;3.0
14;14;DR.L1.MD1_PDV_VB3;VT-03.I;Каскад 1;Подшипника двигателя;M1;1.0;5.0;2.0;3.0;8.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;6183.0;8.0;11.0;0.0;0.0;;;;;;3.0
15;15;DR.L1.MD1_PDV_T5;TT-06.I;Каскад 1;Подшипника двигателя;M1;1.0;5.0;2.0;4.0;1.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;200.0;0.0;200.0;0.0;;;;;;;;;;;;;;;;;6183.0;65.0;70.0;0.0;0.0;;;;;;3.0
16;16;DR.L1.MD1_MSS_P_diff;PT-02.I;Каскад 1;Маслосистема;M1;1.0;5.0;2.0;4.0;2.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;0.0;690.0;0.0;690.0;0.0;;;;;;;;;;;;;;;;;6183.0;241.0;276.0;45385;0.0;;;;;;7.0
17;17;DR.L1.MD1_EV_T;TT-14.I;Каскад 1;Маслосистема;M1;1.0;5.0;2.0;4.0;5.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;0.0;-40.0;150.0;0.0;150.0;-40.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;21.0;0.0;;;;;;4.0
18;18;DR.L1.MD1_MSS_FED_P_m;PT-03.I;Каскад 1;Маслосистема;M1;1.0;5.0;2.0;4.0;6.0;0.5;0.0;32000.0;-767.0;32767.0;0.0;0.0;200.0;0.0;1000.0;200.0;1000.0;0.0;;;;;;;;;;;;;;;;;6199.0;0.0;0.0;138.0;103.0;;;;;;12.0
