id;n_variable_index;c_name_variable;c_desc_variable;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_id_id;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
260;260;DR.L1.PIT3.L;LIC-02.HILO;Каскад 1;ПИД;1PID;0.0;8.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.0;3.0;0.0;3.0;-3.0;;;;;;;;;;;;;;;;;33799.0;45536;45537;-1.9;-2.9;;;;;(l10*E45*2+l10*E4-h10*3+h10*E1)*E6*(E49<0.4)*(E47<0.4);15.0
261;261;DR.L1.SD1_GS.Gap_Calib_Perm;MS-01.K;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
262;262;DR.L1.MD1_GS.Gap_Calib_Perm;MS-03.K;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
263;263;DR.L1.SD1_GS_Gap_SP;MS-01.SP;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;20.0;0.0;20.0;6.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
264;264;DR.L1.MD1_GS.Gap_SP;MS-03.SP;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;20.0;0.0;20.0;6.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
265;265;DR.L1.SD1_GS.Gap_PV;MS-01.ME;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
266;266;DR.L1.MD1_GS.Gap_PV;MS-03.ME;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
267;267;DR.L1.SD1_GS.Gap_Corr_Perm;MS-01.OP;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
268;268;DR.L1.MD1_GS.Gap_Corr_Perm;MS-03.OP;Каскад 1;Шкаф гидравлики;SOL1..9;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;;;;;;;;;;;;;;;;;3.0;0.0;0.0;0.0;0.0;;;;;;0.0
269;269;DR.L1.SD1_GS.Underlay_Thickness;MS-01.d0;Каскад 1;Гидравлическая система;SV1-01..8;0.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.0;;;;;;;;;;;;;;;;;131.0;0.0;0.0;0.0;0.0;;;;;;0.0
