n_variable_index;c_name_variable;c_desc_variable;c_signal_ident;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_index;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
1;L1_Var1;Весы 7.2 ПЧ пуск;DO;КСД №3;Весы 7.2 ПЧ;;3;1;6;36;1;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
2;L1_Var2;Весы 7.2 ПЧ скорость 1;DO;Пластинчатый питатель №5;Весы 7.2 ПЧ;;3;1;6;36;2;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
3;L1_Var3;Весы 7.2 ПЧ скорость 2;DO;КСД №3;Весы 7.2 ПЧ;;3;1;6;36;3;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
4;L1_Var4;Питатель 4.С43 пуск;DO;Конвейер №5а;Питатель 4.С43;;3;1;6;36;4;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
5;L1_Var5;Питатель 4.С58 пуск;DO;КСД №3;Питатель 4.С58;;3;1;6;36;5;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
6;L1_Var6;Питатель 4.С71 пуск;DO;КСД №3;Питатель 4.С71;;3;1;6;36;6;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
7;L1_Var7;Питатель 4.С44 пуск;DO;КСД №3;Питатель 4.С44;;3;1;6;36;7;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
8;L1_Var8;Питатель 4.С57 пуск;DO;Конвейер №5а;Питатель 4.С57;;3;1;6;36;8;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
9;L1_Var9;Питатель 4.С70 пуск;DO;Конвейер №5а;Питатель 4.С70;;3;1;6;37;1;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
10;L1_Var10;Питатель 4.С45 пуск;DO;Пластинчатый питатель №5;Питатель 4.С45;;3;1;6;37;2;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
11;L1_Var11;Питатель 4.С56 пуск;DO;КМД №3;Питатель 4.С56;;3;1;6;37;3;0;0;0;0;0;0.0;0.0;0.0;0;1;0.0;0.0;0.0;;;;;;0;0;0;;0;0;;;;;;768;;;;;;;;;;0
