n_variable_index;c_name_variable;c_desc_variable;c_signal_ident;c_name_section;c_name_position;c_num_position;n_controller_id;n_variable_data_type_id;n_variable_type_id;n_module_index;n_module_channel;PPI.FilterTime;PPI.mCodeScaleMin;PPI.mCodeScaleMax;PPI.mCodeLowThreshold;PPI.mCodeHighThreshold;PPI.Hysteresis;PPI.MediaLen;PPI.LocalOverrideValue;PPI.MinEU;PPI.MaxEU;SP.SP;SP.TechHi;SP.TechLo;CW.ConfigState;CW.ActiveState;CW.Read;CW.Write;CW.LocalOverrideState;CW.FilterState;CW.InversionState;CW.Linearization;CW.SqrtLinearization;CW.NotQuality;CW.UpdateState;CW.Used_IOAddress;CW.Used_EURange;CW.MessOfChange;CW.Used_Media;CW.Used_Formula;CW;Alarms.HiThreshold;Alarms.HiHiThreshold;Alarms.LoThreshold;Alarms.LoLoThreshold;HILO_CW.Alarms.HiActiveState;HILO_CW.Alarms.HiHiActiveState;HILO_CW.Alarms.LoActiveState;HILO_CW.Alarms.LoLoActiveState;Formula;HILO_CW
1;Tag_001;Давление насоса гидравлики HP500 на напорном трубопроводе (только на 2 каскаде);PT-07.I;КСД №2 (HP500);Маслосистема;14M1;2.0;8.0;2.0;1.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;250.0;0.0;250.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;160.0;100.0;;;;;;12.0
2;DR.L2.PIT4.H1;Дробилка HP500: датчик уровня лазерный в приемной воронке;LIC-01.I;Пластинчатый питатель № 4;ПИД;1PID;2.0;8.0;2.0;9.0;8.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6695.0;90.0;95.0;25.0;5.0;;;;;;15.0
3;DR.L2.SD2_MSS_P_Vigr;Дробилка HP500: измерение давления в цепи выгрузки;PT-01.I;КСД №2 (HP500);Маслосистема;14M1;2.0;8.0;2.0;1.0;7.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;1000.0;0.0;1000.0;0.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;138.0;103.0;;;;;;12.0
4;DR.L2.K4A.I_Tran;Дробилка MP800: преобразователь тока;M1.C.I;Конвейер №4а (TEC1200);ПИД;24PID;2.0;8.0;2.0;1.0;8.0;3.0;4.0;20.0;3.5;22.0;0.0;0.0;5.0;0.0;150.0;5.0;150.0;0.0;;;;;;;;;;;;;;;;;6695.0;64.0;76.0;21.7;3.6;;;;;;15.0
5;DR.L2.SD2_MSS_SL_T;Температура слива масла на выходе дробилки;TT-02.I;КСД №2 (HP500);Маслосистема;14M1;2.0;8.0;2.0;2.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;-18.0;93.0;0.0;93.0;-18.0;;;;;;;;;;;;;;;;;6183.0;0.0;0.0;0.0;0.0;;;;;;0.0
6;DR.L2.SD2_MSS_T_Rtn;Дробилка HP500: измерение температуры возврата масла;TT-03.I;КСД №2 (HP500);Маслосистема;14M1;2.0;8.0;2.0;2.0;3.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;20.0;0.0;100.0;20.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;40.0;65.0;35.0;17.0;;;;;;15.0
7;DR.L2.SD2_MSS.Tank_T;Дробилка HP500: измерение температуры маслобака;TT-04.I;КСД №2 (HP500);Маслосистема;14M1;2.0;8.0;2.0;2.0;4.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;22.0;0.0;100.0;22.0;100.0;0.0;;;;;;;;;;;;;;;;;6183.0;25.0;45.0;20.0;15.0;;;;;;15.0
8;DR.L2.K4A.H;Дробилка MP800: датчик уровня ультразвуковой в приемной воронке;LIC-03.I;Конвейер №4а (TEC1200);ПИД;24PID;2.0;8.0;2.0;2.0;7.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;;;;;;;;;;;;;;;;;6695.0;90.0;99.0;30.0;15.0;;;;;;15.0
9;DR.L2.K4A_VR_VFD_I;ЧП конвейера TEC1200 (ЛК-4а): ток;24M1.C.I;Конвейер №4а (TEC1200);ПИД;24PID;2.0;8.0;2.0;2.0;8.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;0.0;0.0;58.0;0.0;58.0;0.0;;;;;;;;;;;;;;;;;6183.0;52.2;57.5;0.0;0.0;;;;;;3.0
10;DR.L2.PIT4.H2;Бункер: датчик уровня радарный;LIC-02.I;Пластинчатый питатель № 4;ПИД;1PID;2.0;8.0;2.0;3.0;1.0;0.5;4.0;20.0;3.5;22.0;0.0;0.0;50.0;0.0;100.0;50.0;100.0;0.0;;;;;;;;;;;;;;;;;6695.0;55.0;70.0;25.0;20.0;;;;;;15.0
